file_name,file_path,class_name,class_index
flower1150.png,data/train_set/flower/flower1150.png,flower,4
flower1141.png,data/train_set/flower/flower1141.png,flower,4
flower215.png,data/train_set/flower/flower215.png,flower,4
flower71.png,data/train_set/flower/flower71.png,flower,4
flower901.png,data/train_set/flower/flower901.png,flower,4
flower2144.png,data/train_set/flower/flower2144.png,flower,4
flower1846.png,data/train_set/flower/flower1846.png,flower,4
flower1412.png,data/train_set/flower/flower1412.png,flower,4
flower500.png,data/train_set/flower/flower500.png,flower,4
flower1765.png,data/train_set/flower/flower1765.png,flower,4
flower2151.png,data/train_set/flower/flower2151.png,flower,4
flower898.png,data/train_set/flower/flower898.png,flower,4
flower1448.png,data/train_set/flower/flower1448.png,flower,4
flower654.png,data/train_set/flower/flower654.png,flower,4
flower1548.png,data/train_set/flower/flower1548.png,flower,4
flower175.png,data/train_set/flower/flower175.png,flower,4
flower9.png,data/train_set/flower/flower9.png,flower,4
flower2365.png,data/train_set/flower/flower2365.png,flower,4
flower1179.png,data/train_set/flower/flower1179.png,flower,4
flower437.png,data/train_set/flower/flower437.png,flower,4
flower1244.png,data/train_set/flower/flower1244.png,flower,4
flower1567.png,data/train_set/flower/flower1567.png,flower,4
flower1745.png,data/train_set/flower/flower1745.png,flower,4
flower91.png,data/train_set/flower/flower91.png,flower,4
flower264.png,data/train_set/flower/flower264.png,flower,4
flower1339.png,data/train_set/flower/flower1339.png,flower,4
flower151.png,data/train_set/flower/flower151.png,flower,4
flower490.png,data/train_set/flower/flower490.png,flower,4
flower325.png,data/train_set/flower/flower325.png,flower,4
flower107.png,data/train_set/flower/flower107.png,flower,4
flower927.png,data/train_set/flower/flower927.png,flower,4
flower477.png,data/train_set/flower/flower477.png,flower,4
flower172.png,data/train_set/flower/flower172.png,flower,4
flower2031.png,data/train_set/flower/flower2031.png,flower,4
flower1645.png,data/train_set/flower/flower1645.png,flower,4
flower2135.png,data/train_set/flower/flower2135.png,flower,4
flower154.png,data/train_set/flower/flower154.png,flower,4
flower1232.png,data/train_set/flower/flower1232.png,flower,4
flower136.png,data/train_set/flower/flower136.png,flower,4
flower434.png,data/train_set/flower/flower434.png,flower,4
flower1207.png,data/train_set/flower/flower1207.png,flower,4
flower293.png,data/train_set/flower/flower293.png,flower,4
flower1744.png,data/train_set/flower/flower1744.png,flower,4
flower2204.png,data/train_set/flower/flower2204.png,flower,4
flower2209.png,data/train_set/flower/flower2209.png,flower,4
flower1449.png,data/train_set/flower/flower1449.png,flower,4
flower1315.png,data/train_set/flower/flower1315.png,flower,4
flower946.png,data/train_set/flower/flower946.png,flower,4
flower1869.png,data/train_set/flower/flower1869.png,flower,4
flower822.png,data/train_set/flower/flower822.png,flower,4
flower513.png,data/train_set/flower/flower513.png,flower,4
flower286.png,data/train_set/flower/flower286.png,flower,4
flower1218.png,data/train_set/flower/flower1218.png,flower,4
